array_size,execution_time
10,11
20,0
30,1
40,2
50,2
60,4
70,4
80,5
90,6
100,8
200,30
300,63
400,107
500,156
600,206
700,237
800,335
900,425
1000,514
2000,1979
3000,4314
4000,7828
5000,13187
6000,21700
7000,25477
8000,29985
9000,38028
10000,46738
20000,198964
30000,590935
40000,1163215
50000,1849506
60000,2782115
70000,4147898
80000,5140208
90000,6925861
100000,8604677
200000,37774673
300000,86812361
400000,157481366
500000,254269249
600000,361935185
700000,494733259
800000,644581766
900000,839177569
1000000,1055893700
