lena,lenb,fb0_cste,fb1_cste
1,1,3,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,1,0
1,10,1,0
1,11,1,0
1,12,1,0
1,13,2,0
1,14,2,0
1,15,2,0
1,16,2,0
1,17,3,0
1,18,3,0
1,19,3,0
1,20,4,0
1,21,4,0
1,22,4,0
1,23,5,0
1,24,5,0
1,25,6,0
1,26,6,0
1,27,7,0
1,28,7,0
1,29,7,0
2,2,1,0
2,3,0,0
2,4,1,0
2,5,2,0
2,6,3,0
2,7,4,0
2,8,6,0
2,9,8,0
2,10,10,0
2,11,13,0
2,12,16,0
2,13,20,0
2,14,25,0
2,15,29,0
2,16,35,0
2,17,41,0
2,18,47,0
2,19,54,0
2,20,61,0
2,21,71,0
2,22,80,0
2,23,90,0
2,24,101,0
2,25,112,0
2,26,125,0
2,27,139,0
2,28,153,0
3,3,2,0
3,4,4,0
3,5,8,0
3,6,13,0
3,7,22,0
3,8,33,0
3,9,49,0
3,10,69,0
3,11,94,0
3,12,125,0
3,13,163,0
3,14,210,0
3,15,265,0
3,16,331,0
3,17,409,0
3,18,498,0
3,19,602,0
3,20,725,0
3,21,857,0
3,22,1015,0
3,23,1187,0
3,24,1386,0
3,25,1537,0
3,26,1744,0
3,27,1992,0
4,4,11,0
4,5,23,0
4,6,46,0
4,7,84,0
4,8,143,0
4,9,231,0
4,10,355,0
4,11,525,0
4,12,749,0
4,13,1045,0
4,14,1422,0
4,15,1953,0
4,16,2535,0
4,17,3305,0
4,18,4180,0
4,19,5212,0
4,20,6519,0
4,21,8066,0
4,22,9859,0
4,23,12000,0
4,24,14494,0
4,25,17389,0
4,26,20732,0
5,5,60,0
5,6,135,0
5,7,274,0
5,8,517,0
5,9,909,0
5,10,1519,0
5,11,2435,0
5,12,3754,0
5,13,5615,0
5,14,8166,0
5,15,11621,0
5,16,16166,0
5,17,22114,0
5,18,29740,0
5,19,40108,0
5,20,52793,0
5,21,69492,0
5,22,87414,0
5,23,111135,0
5,24,137317,0
5,25,168201,0
6,6,348,0
6,7,785,0
6,8,1620,0
6,9,3127,0
6,10,5695,0
6,11,9874,0
6,12,16417,0
6,13,26346,0
6,14,40800,0
6,15,61572,0
6,16,90849,0
6,17,130639,0
6,18,184606,0
6,19,256723,0
6,20,353784,0
6,21,476886,0
6,22,632335,0
6,23,843706,0
6,24,1089728,0
7,7,1952,0
7,8,4474,0
7,9,9474,0
7,10,18795,0
7,11,35248,0
7,12,62930,0
7,13,107767,0
7,14,178535,0
7,15,286252,0
7,16,447487,0
7,17,688706,0
7,18,1012368,0
7,19,1472629,0
7,20,2109130,0
7,21,2963507,0
7,22,4118399,0
7,23,5689567,0
8,8,11188,0
8,9,25841,0
8,10,56526,0
8,11,113040,0
8,12,216900,0
8,13,398489,0
8,14,700615,0
8,15,1196491,0
8,16,1971663,0
8,17,3156005,0
8,18,4947570,0
8,19,7558757,0
8,20,11317861,0
8,21,16871850,0
8,22,24178701,0
9,9,65066,0
9,10,151058,0
9,11,328406,0
9,12,675499,0
9,13,1323364,0
9,14,2485752,0
9,15,4487706,0
9,16,7812623,0
9,17,13205407,0
9,18,21892615,0
9,19,34994614,0
9,20,54819212,0
9,21,84719435,0
10,10,375066,0
10,11,875623,0
10,12,1930077,0
10,13,4045413,0
10,14,8183301,0
10,15,15701713,0
10,16,28589164,0
10,17,50825080,0
10,18,87021231,0
10,19,145974016,0
10,20,239902875,0
11,11,2165748,0
11,12,5113849,0
11,13,11574114,0
11,14,23880463,0
11,15,48231101,0
11,16,94597576,0
11,17,177281475,0
11,18,321821132,0
11,19,567660204,0
12,12,12811779,0
12,13,30212584,0
12,14,67329363,0
12,15,143451873,0
12,16,296500965,0
12,17,583917383,0
12,18,1104299600,0
13,13,74486747,0
13,14,176340340,0
13,15,397490090,0
13,16,1975880587,0
13,17,1780567360,0
14,14,839066894,0
14,15,2403117009,0
14,16,5579564026,0
15,15,10241052136,0
