lena,lenb,dp
10,10,16
20,20,38
30,30,81
40,40,141
50,50,216
60,60,306
70,70,411
80,80,529
90,90,656
100,100,806
200,200,3157
300,300,7068
400,400,12502
500,500,20572
600,600,28029
700,700,37860
800,800,49403
900,900,62507
1000,1000,77964
2000,2000,311187
3000,3000,702608
4000,4000,1241707
5000,5000,1935693
6000,6000,2787461
7000,7000,3839284
8000,8000,4968826
9000,9000,6296459
10000,10000,7789567
20000,20000,31040518
30000,30000,70151218
40000,40000,124715345
50000,50000,195896494
60000,60000,281763387
70000,70000,385369367
80000,80000,501134649
90000,90000,635467820
