lena,lenb,dp_same
10,10,48
20,20,88
30,30,171
40,40,169
50,50,212
60,60,298
70,70,410
80,80,516
90,90,648
100,100,798
200,200,4144
300,300,9355
400,400,13289
500,500,17287
600,600,21486
700,700,25987
800,800,33148
900,900,42386
1000,1000,52206
2000,2000,210042
3000,3000,474940
4000,4000,859501
5000,5000,1342417
6000,6000,1918190
7000,7000,2622438
8000,8000,3431949
9000,9000,4378961
10000,10000,5380845
20000,20000,21517828
30000,30000,48164278
40000,40000,85829794
50000,50000,135568055
60000,60000,195605689
70000,70000,267329135
80000,80000,350446162
90000,90000,1334788529
